,date,number,time,latitude,longitude,depth,magnitude,type,place
462,1932-03-15,931,07:44:17,39.7,44.0,15.0,5.3,MS,Agri
457,1934-06-19,1004,18:43:16,37.86,31.13,50.0,5.3,MS,Isparta
252,1970-04-24,3050,03:33:39,39.01,29.7,44.0,5.3,mb,Kutahya
210,1977-12-16,4212,07:37:30,38.368,27.211,21.2,5.3,mb,Izmir
499,1924-05-13,651,01:52:33,40.0,42.0,30.0,5.3,MS,Erzurum
316,1964-01-30,1883,17:45:58,37.400999999999996,29.930999999999997,56.2,5.3,mb,Burdur
244,1971-05-12,3292,10:10:38,37.525999999999996,29.749000000000002,29.8,5.3,mb,Burdur
227,1976-08-15,4001,18:56:46,37.842,28.7708,11.0,5.3,mb,Denizli
16,2017-02-12,0,13:48:16,39.5336,26.17,7.0,5.3,Mw,Canakkale
377,1949-08-17,1355,20:38:00,39.6,40.6,10.0,5.3,MS,Erzincan
379,1949-04-25,1346,23:09:21,38.27,38.99,80.0,5.3,MS,Malatya
19,2017-02-06,0,10:58:02,39.5303,26.1351,8.72,5.3,Mw,Canakkale
20,2017-02-06,0,03:51:40,39.5495,26.136999999999997,14.16,5.3,Mw,Canakkale
22,2015-12-02,0,23:27:07,39.260999999999996,40.217,10.66,5.3,Mw,Bingol
321,1962-09-04,1847,22:59:22,39.96,44.13,40.0,5.3,MS,Igdir
302,1966-08-19,2216,13:15:13,39.41,41.3,62.0,5.3,MS,Erzurum
216,1977-01-17,4079,05:19:23,39.226,43.648999999999994,15.8,5.3,MS,Agri
249,1970-09-03,3177,05:32:09,39.575,38.809,9.3,5.3,MS,Erzincan
56,2010-11-03,11860,02:51:26,40.425,26.2214,10.0,5.3,Mw,Canakkale
27,2014-05-24,0,09:31:18,40.3951,26.3058,6.98,5.3,Mw,Canakkale
479,1928-01-24,780,07:36:12,40.99,30.86,10.0,5.3,MS,Sakarya
331,1959-09-10,1740,13:59:23,39.64,41.73,70.0,5.3,MS,Erzurum
500,1924-01-22,644,11:05:44,39.51,28.4,80.0,5.3,MS,Balikesir
254,1970-04-19,3026,13:50:27,39.6,30.7,33.0,5.3,MS,Balikesir
169,1989-02-24,6376,00:40:36,37.709,29.314,14.4,5.3,Mw,Denizli
352,1955-08-28,1564,13:39:24,37.4,27.16,20.0,5.3,MS,Aydin
146,1994-11-13,7402,06:56:04,36.955,29.053,20.0,5.3,Mw,Mugla
421,1941-05-23,1166,22:34:15,37.13,28.38,40.0,5.3,MS,Mugla
357,1953-06-03,1481,16:05:31,40.28,28.53,20.0,5.3,MS,Bursa
273,1969-09-10,2827,12:14:00,39.244,41.448,35.0,5.3,MS,Mus
419,1941-09-21,1176,22:40:31,37.5,28.29,70.0,5.3,MS,Mugla
115,2000-08-23,8945,13:41:29,40.787,30.781,15.3,5.3,Mw,Sakarya
159,1991-04-10,6786,01:08:45,37.299,36.116,42.3,5.3,Mw,Osmaniye
432,1939-10-19,1114,21:32:48,39.82,29.5,10.0,5.3,MS,Kutahya
161,1991-01-15,6741,21:01:05,37.1211,29.4809,1.0,5.3,mb,Burdur
108,2002-02-03,9378,11:39:59,38.562,31.083000000000002,31.0,5.3,Mw,Balikesir
267,1970-03-28,2912,21:12:10,39.5,30.3,33.0,5.3,MS,Kutahya
281,1969-03-03,2694,00:59:12,40.048,27.535999999999998,10.1,5.3,MS,Balikesir
93,2004-08-04,9977,14:18:52,36.885999999999996,27.78,24.2,5.3,Mw,Mugla
101,2003-07-23,9758,04:56:05,38.065,28.886,15.0,5.3,Mw,Denizli
333,1959-04-25,1726,01:05:47,36.92,28.6,40.0,5.3,MS,Mugla
402,1944-02-01,1226,21:24:00,41.4,32.7,10.0,5.3,MS,Karabuk
439,1939-01-02,1098,04:35:22,36.3,30.7,10.0,5.3,MS,Balikesir
91,2004-12-20,10055,23:02:17,36.95,28.345,28.3,5.3,Mw,Mugla
436,1939-08-02,1108,13:06:17,39.75,29.48,50.0,5.3,MS,Kutahya
175,1987-06-19,6064,18:45:43,36.777,28.159000000000002,76.1,5.3,Mw,Mugla
69,2007-10-29,10903,09:23:17,36.908,29.342,20.0,5.3,Mw,Burdur
70,2007-08-25,10834,22:05:49,39.248000000000005,41.122,12.5,5.3,Mw,Bingol
172,1988-04-24,6217,20:49:36,40.891999999999996,28.316999999999997,15.0,5.3,Mw,Istanbul
307,1966-03-07,2143,01:16:11,39.174,41.602,35.0,5.2,mb,Mus
348,1957-02-05,1631,17:20:33,36.37,28.88,60.0,5.2,MS,Mugla
243,1971-05-12,3293,12:57:23,37.524,29.668000000000003,11.1,5.2,MS,Burdur
309,1965-08-23,2077,14:08:57,40.436,26.136,16.0,5.2,mb,Edirne
355,1953-07-22,1487,15:09:38,39.24,28.43,10.0,5.2,MS,Balikesir
305,1966-05-04,2172,21:49:01,37.74,27.71,37.0,5.2,MS,Aydin
292,1967-07-22,2337,17:14:10,40.7,30.8,6.0,5.2,mb,Sakarya
350,1956-02-23,1578,06:04:37,39.76,30.17,60.0,5.2,MS,Balikesir
297,1966-09-25,2247,03:10:31,37.77,29.97,44.0,5.2,MS,Burdur
366,1952-10-22,1433,04:15:03,36.83,27.6,40.0,5.2,MS,Mugla
258,1970-04-16,3011,10:42:24,38.998000000000005,29.910999999999998,36.1,5.2,MS,Kutahya
275,1969-04-30,2755,20:20:34,39.14,28.546999999999997,14.5,5.2,MS,Balikesir
287,1968-02-19,2434,23:21:02,39.8,26.4,10.0,5.2,mb,Canakkale
336,1958-05-09,1687,02:40:57,36.61,27.6,67.0,5.2,MS,Mugla
301,1966-08-19,2217,13:54:27,38.999,41.75899999999999,35.0,5.2,mb,Mus
338,1957-12-26,1677,15:01:45,40.83,29.72,10.0,5.2,MS,Kocaeli
280,1969-03-04,2695,01:47:25,36.98,31.04,109.0,5.2,MS,Antalya
322,1961-11-28,1827,08:58:47,39.99,26.1,80.0,5.2,MS,Canakkale
296,1966-12-10,2264,17:08:33,41.09,33.56,13.0,5.2,MS,Kastamonu
326,1960-01-26,1758,13:05:46,37.0,28.93,72.0,5.2,MS,Mugla
266,1970-03-28,2921,23:11:43,39.15,29.56,31.0,5.2,MS,Kutahya
156,1991-12-05,6959,20:21:56,36.162,31.791999999999998,106.7,5.2,Mw,Balikesir
239,1971-09-09,3389,15:10:08,37.301,30.206,52.0,5.2,mb,Antalya
426,1940-04-22,1135,12:20:43,39.62,39.89,20.0,5.2,MS,Erzincan
428,1940-02-21,1128,00:50:00,38.4,35.3,10.0,5.2,MS,Kayseri
123,1999-09-29,8687,00:13:07,40.734,29.354,7.9,5.2,Mw,Yalova
122,1999-10-05,8693,00:53:29,36.739000000000004,28.226,19.0,5.2,Mw,Mugla
235,1974-02-01,3663,00:01:01,38.548,27.283,11.3,5.2,mb,Izmir
111,2001-10-31,9298,12:33:58,37.177,36.131,41.8,5.2,mb,Osmaniye
106,2003-04-17,9671,22:34:27,38.181,26.959,15.0,5.2,Mw,Izmir
103,2003-07-06,9742,20:10:18,40.443000000000005,26.039,15.0,5.2,Mw,Edirne
96,2004-08-03,9967,13:11:34,36.888000000000005,27.776999999999997,22.8,5.2,Mw,Mugla
94,2004-08-04,9974,04:19:48,36.876999999999995,27.802,12.0,5.2,Mw,Mugla
83,2005-07-30,10241,21:45:03,39.388000000000005,33.114000000000004,15.5,5.2,Mw,Ankara
80,2005-10-17,10315,09:55:32,38.152,26.730999999999998,17.8,5.2,Mw,Izmir
437,1939-07-25,1103,03:40:29,39.75,29.52,50.0,5.2,MS,Kutahya
62,2009-02-17,11412,05:28:19,39.1488,29.0448,7.0,5.2,Mw,Kutahya
453,1935-10-22,1031,07:29:43,40.31,27.21,10.0,5.2,MS,Canakkale
460,1932-12-26,970,19:03:05,36.9,34.73,60.0,5.2,MS,Mersin
38,2011-11-14,12261,22:08:14,38.7038,43.0833,23.32,5.2,Mw,Van
36,2012-03-26,12398,10:35:33,39.23,42.28,17.0,5.2,Mw,Mus
35,2012-05-03,12453,15:20:25,39.1245,29.11,10.59,5.2,Mw,Kutahya
32,2012-06-14,12507,05:52:51,37.1572,42.4437,11.68,5.2,Mw,Sirnak
478,1928-03-31,785,05:12:24,38.1,27.4,10.0,5.2,MS,Izmir
481,1927-02-07,744,06:04:36,39.0,31.0,15.0,5.2,MS,Afyonkarahisar
26,2014-09-04,0,21:00:03,36.172,30.9301,41.03,5.2,Mw,Balikesir
24,2015-10-06,0,21:27:34,36.1846,29.8853,34.23,5.2,Mw,Balikesir
483,1926-10-22,737,16:44:05,40.7,43.7,8.0,5.2,MS,Kars
18,2017-02-07,0,02:24:04,39.5205,26.151,6.24,5.2,Mw,Canakkale
7,2018-09-12,0,06:21:46,36.0535,31.2135,36.68,5.2,Mw,Balikesir
4,2019-04-04,0,17:31:07,38.3865,39.1205,8.92,5.2,Mw,Elazig
128,1999-07-25,8517,06:56:56,39.321,27.984,21.2,5.2,Mw,Balikesir
120,1999-11-12,8721,17:17:58,40.78,31.139,8.4,5.2,mb,Duzce
132,1998-04-13,8164,15:14:33,39.315,41.123000000000005,15.0,5.2,Mw,Bingol
149,1994-05-24,7344,02:18:36,38.739000000000004,26.575,17.3,5.2,mb,Izmir
369,1951-11-05,1407,13:43:54,36.0,29.0,10.0,5.2,MS,Balikesir
373,1950-11-08,1382,10:08:02,38.27,39.16,50.0,5.2,MS,Diyarbakir
375,1949-11-23,1362,16:51:05,38.75,26.36,60.0,5.2,MS,Izmir
376,1949-08-17,1356,20:45:32,39.58,40.57,60.0,5.2,MS,Erzincan
390,1945-11-20,1257,06:27:58,38.63,43.33,10.0,5.2,MS,Van
214,1977-03-25,4096,02:39:59,38.645,40.064,17.2,5.2,Mw,Elazig
392,1945-06-07,1251,01:20:41,41.17,33.25,10.0,5.2,MS,Kastamonu
396,1944-10-18,1245,12:54:05,40.89,33.47,10.0,5.2,MS,Cankiri
133,1998-04-04,8161,16:16:51,38.101,30.171,25.3,5.2,Mw,Balikesir
180,1985-11-07,5754,08:26:23,40.374,42.333999999999996,35.0,5.2,Mw,Kars
153,1993-08-26,7239,10:03:59,36.724000000000004,28.061999999999998,37.0,5.2,mb,Mugla
406,1943-11-15,1214,11:43:09,36.81,28.84,83.0,5.2,MS,Mugla
142,1995-12-05,7617,18:52:46,39.474000000000004,40.152,73.8,5.2,mb,Tunceli
420,1941-05-23,1167,23:00:48,37.22,28.35,48.0,5.2,MS,Mugla
135,1997-01-22,7975,18:27:37,36.177,35.897,61.3,5.2,mb,Hatay
138,1997-01-21,7971,20:47:49,38.106,29.008000000000003,17.2,5.2,Mw,Denizli
423,1941-01-09,1157,18:13:34,38.03,27.4,70.0,5.2,MS,Izmir
145,1995-01-29,7441,04:17:00,39.762,40.648,49.6,5.2,Mw,Erzurum
312,1965-03-26,2036,20:29:23,36.82,30.94,111.0,5.2,MS,Balikesir
356,1953-06-18,1482,05:44:12,41.8,26.55,30.0,5.1,MS,Edirne
340,1957-07-07,1661,05:58:58,39.37,40.46,60.0,5.1,MS,Bingol
339,1957-09-21,1666,20:16:59,40.75,34.02,40.0,5.1,MS,Cankiri
317,1963-07-26,1870,19:46:39,36.84,28.76,80.0,5.1,MS,Mugla
497,1924-09-13,659,20:45:08,40.24,41.94,10.0,5.1,MS,Erzurum
372,1950-11-28,1385,17:53:23,39.73,28.05,40.0,5.1,MS,Balikesir
490,1925-08-16,703,20:58:24,38.0,30.0,15.0,5.1,MS,Balikesir
319,1963-03-29,1861,03:09:18,40.29,26.15,50.0,5.1,MS,Canakkale
488,1925-12-18,708,02:28:42,37.4,30.4,15.0,5.1,MS,Burdur
344,1957-05-26,1642,09:13:59,41.34,30.7,100.0,5.1,MS,Balikesir
442,1938-05-31,1084,17:55:22,40.9,33.73,10.0,5.1,MS,Cankiri
401,1944-02-02,1227,03:33:17,40.74,31.44,40.0,5.1,MS,Bolu
378,1949-05-13,1347,20:14:07,40.94,32.71,20.0,5.1,MS,Karabuk
386,1946-07-16,1269,19:45:31,38.63,31.15,40.0,5.1,MS,Balikesir
434,1939-08-09,1111,23:43:51,39.91,29.81,60.0,5.1,MS,Bilecik
448,1936-09-21,1055,11:41:25,41.21,33.53,20.0,5.1,MS,Kastamonu
354,1954-03-23,1512,12:58:53,40.58,27.12,10.0,5.1,MS,Tekirdag
395,1945-01-15,1246,05:30:00,38.4,44.2,32.0,5.1,MS,Van
358,1953-05-02,1478,18:37:44,38.51,26.55,60.0,5.1,MS,Izmir
472,1930-02-08,860,05:20:18,38.52,39.4,100.0,5.1,MS,Elazig
337,1958-01-14,1678,13:34:49,39.48,40.41,60.0,5.1,MS,Bingol
0,2020-01-25,0,16:30:07,38.374,39.131,16.4,5.1,Mw,Elazig
250,1970-05-14,3088,07:56:06,39.02,29.1,38.0,5.1,mb,Kutahya
265,1970-03-28,2924,23:44:01,39.047,29.759,30.7,5.1,MS,Kutahya
