,date,latitude,longitude,depth,magnitude,type,place,year
183,1990-07-18,37.026,29.531,40.4,5.5,Mw,Burdur,1990
184,1989-05-20,39.616,40.185,39.3,5.4,Mw,Erzincan,1989
185,1989-02-19,37.007,28.163,23.3,5.4,Mw,Mugla,1989
186,1989-02-24,37.709,29.314,14.4,5.3,Mw,Denizli,1989
187,1989-06-24,36.745,35.944,46.4,5.1,Mw,Adana,1989
188,1989-04-28,36.995,28.101,20.8,5.5,Mw,Mugla,1989
189,1989-04-27,37.016,28.153,18.7,5.5,Mw,Mugla,1989
190,1988-06-25,38.451,43.084,15.0,5.5,Mw,Van,1988
191,1988-04-20,39.066,44.115,15.0,5.5,Mw,Van,1988
192,1988-04-24,40.892,28.317,15.0,5.3,Mw,Istanbul,1988
193,1987-06-19,36.777,28.159,76.1,5.3,Mw,Mugla,1987
194,1987-02-22,38.416,40.495,38.5,5.0,mb,Diyarbakir,1987
195,1987-09-03,35.95,30.617,57.6,5.0,mb,Balikesir,1987
196,1986-10-11,37.941,28.557,12.6,5.6,Mw,Aydin,1986
197,1986-06-06,38.005,37.912,21.9,5.8,Mw,Malatya,1986
198,1986-05-05,38.001,37.783,4.1,6.0,Mw,Malatya,1986
199,1986-08-03,37.169,37.161,48.8,5.0,mb,Gaziantep,1986
200,1985-04-10,36.8024,27.5379,20.0,5.0,mb,Mugla,1985
201,1985-11-07,40.374,42.334,35.0,5.2,Mw,Kars,1985
202,1984-10-18,40.71,42.448,35.0,5.4,Mw,Erzurum,1984
203,1984-09-18,40.885,42.238,10.0,5.5,Mw,Erzurum,1984
204,1984-07-29,40.418,26.001,12.1,5.0,mb,Balikesir,1984
205,1984-02-05,37.234,28.678,32.5,5.0,mb,Mugla,1984
206,1983-07-05,40.311,27.256,10.0,6.1,Mw,Canakkale,1983
207,1983-10-21,40.108,29.402,4.7,5.4,Mw,Bursa,1983
208,1983-04-06,39.877,40.417,44.3,5.0,mb,Erzincan,1983
209,1983-10-30,40.331,42.173,15.0,6.6,Mw,Kars,1983
210,1983-10-30,40.366,42.197,7.6,5.5,Mw,Erzurum,1983
211,1983-10-30,40.3593,42.0106,3.0,5.0,mb,Erzurum,1983
212,1983-11-18,39.753,39.468,17.9,5.4,Mw,Erzincan,1983
213,1982-03-27,39.218,41.877,35.0,5.4,mb,Erzurum,1982
214,1981-04-26,36.547,30.685,72.8,5.6,Mw,Balikesir,1981
215,1981-01-20,38.06,38.571,12.8,5.0,mb,Adiyaman,1981
216,1980-10-04,37.0,28.8,26.0,5.1,MS,Mugla,1980
217,1980-10-18,39.91,40.31,37.0,5.3,MS,Erzincan,1980
218,1980-08-02,38.93,27.42,10.0,5.3,mb,Izmir,1980
219,1980-07-11,38.536,40.84,56.3,5.1,mb,Diyarbakir,1980
220,1979-06-14,38.794,26.607,14.8,5.8,Mw,Izmir,1979
221,1979-08-23,39.6877,28.5734,10.0,5.0,mb,Balikesir,1979
222,1979-12-28,37.493,35.845,44.0,5.4,Mw,Adana,1979
223,1979-05-28,36.46,31.72,111.0,5.9,Mw,Balikesir,1979
224,1979-01-19,39.91,39.6,11.0,5.0,MS,Gumushane,1979
225,1979-04-11,39.12,43.91,44.0,5.0,MS,Van,1979
226,1979-08-22,35.909,27.416,81.4,5.3,Mw,Balikesir,1979
227,1979-07-18,39.649,28.697,4.4,5.3,Mw,Balikesir,1979
228,1979-09-12,38.41,39.8,35.0,5.0,MS,Elazig,1979
229,1979-12-31,36.22,31.49,93.0,5.7,Mw,Balikesir,1979
230,1979-06-16,38.694,26.684,15.7,5.3,Mw,Izmir,1979
231,1978-01-11,37.48,28.86,5.0,5.0,MS,Denizli,1978
232,1977-02-24,38.55,27.66,20.0,5.0,mb,Manisa,1977
233,1977-01-02,39.29,43.62,46.0,5.0,MS,Agri,1977
234,1977-12-16,38.368,27.211,21.2,5.3,mb,Izmir,1977
235,1977-11-03,39.31,43.53,38.0,5.0,MS,Agri,1977
236,1977-03-25,38.645,40.064,17.2,5.2,Mw,Elazig,1977
237,1977-06-01,36.217,31.332,66.5,5.6,Mw,Balikesir,1977
238,1977-10-05,40.992,33.568000000000005,16.1,5.8,Mw,Cankiri,1977
239,1977-01-17,39.226,43.649,15.8,5.3,MS,Agri,1977
240,1976-11-24,39.08,44.029,8.6,7.0,Mw,Van,1976
241,1976-04-29,40.926,42.869,35.0,5.0,MS,Ardahan,1976
242,1976-11-24,39.12,44.0,10.0,5.1,mb,Van,1976
243,1976-09-05,38.46,40.944,18.9,5.0,MS,Diyarbakir,1976
244,1976-11-12,38.47,26.71,6.0,5.0,MS,Izmir,1976
245,1976-08-19,37.735,29.014,14.2,5.1,MS,Denizli,1976
246,1976-08-15,37.842,28.7708,11.0,5.3,mb,Denizli,1976
247,1976-11-24,39.09,43.71,49.0,5.0,MS,Van,1976
248,1976-11-24,39.18,43.71,46.0,5.0,MS,Van,1976
249,1976-11-24,38.977,44.154,10.0,5.0,mb,Van,1976
250,1976-11-24,39.08,44.13,55.0,5.0,MS,Van,1976
251,1976-12-04,39.31,43.66,53.0,5.0,MS,Agri,1976
252,1976-01-12,38.61,43.2,56.0,5.0,MS,Van,1976
253,1976-03-25,41.01,42.97,25.0,5.1,MS,Ardahan,1976
254,1975-09-06,38.5132,40.7741,31.9,6.6,MS,Diyarbakir,1975
255,1975-03-27,40.422,26.147,3.3,5.5,mb,Edirne,1975
256,1975-03-17,40.475,26.118,2.0,5.9,MS,Edirne,1975
257,1975-04-30,36.266,30.769,62.2,5.0,MS,Balikesir,1975
258,1975-09-06,38.444,40.84,50.0,5.0,MS,Diyarbakir,1975
259,1974-02-01,38.548,27.283,11.3,5.2,mb,Izmir,1974
260,1972-03-14,39.325,29.497,41.4,5.5,MS,Kutahya,1972
261,1972-04-26,39.451,26.383000000000006,11.0,5.0,MS,Canakkale,1972
262,1971-05-12,37.526,29.749,29.8,5.3,mb,Burdur,1971
263,1971-09-09,37.301,30.206,52.0,5.2,mb,Antalya,1971
264,1971-05-22,38.85,40.52,3.0,6.8,MS,Bingol,1971
265,1971-02-23,39.62300000000001,27.343000000000004,10.4,5.4,MS,Balikesir,1971
266,1971-06-29,37.133,36.856,40.8,5.5,MS,Gaziantep,1971
267,1971-05-25,39.026,29.73,11.8,5.5,MS,Kutahya,1971
268,1971-05-12,37.524,29.668000000000006,11.1,5.2,MS,Burdur,1971
269,1971-11-06,39.046,29.744,30.9,5.0,mb,Kutahya,1971
270,1971-07-11,37.16,36.832,7.1,5.8,MS,Gaziantep,1971
271,1971-05-12,37.56,29.747,26.8,5.9,MS,Burdur,1971
272,1970-12-30,36.96,28.94,23.0,5.1,mb,Mugla,1970
273,1970-01-26,37.0,28.5,10.0,5.1,mb,Mugla,1970
274,1970-03-28,39.15,29.56,31.0,5.2,MS,Kutahya,1970
275,1970-03-28,38.9,29.7,33.0,5.1,MS,Usak,1970
276,1970-04-23,39.124,28.671,35.0,5.3,MS,Kutahya,1970
277,1970-05-14,39.02,29.1,38.0,5.1,mb,Kutahya,1970
278,1970-03-28,39.047,29.759,30.7,5.1,MS,Kutahya,1970
279,1970-03-28,39.21,29.51,18.0,7.2,MS,Kutahya,1970
280,1970-03-20,36.9,33.5,33.0,5.5,mb,Mersin,1970
281,1970-04-19,38.986,29.829,17.6,5.5,MS,Kutahya,1970
282,1970-09-03,39.575,38.809,9.3,5.3,MS,Erzincan,1970
283,1970-04-07,39.344,29.266,35.2,5.1,MS,Kutahya,1970
284,1970-04-06,39.19,28.54,33.0,5.1,mb,Balikesir,1970
285,1970-04-02,38.9,29.6,41.0,5.1,mb,Usak,1970
286,1970-04-19,38.982,29.767,14.8,5.6,MS,Kutahya,1970
287,1970-11-11,35.99,28.24,35.0,5.1,MS,Balikesir,1970
288,1970-04-24,39.01,29.7,44.0,5.3,mb,Kutahya,1970
289,1970-03-29,39.047,29.738000000000003,39.6,5.1,MS,Kutahya,1970
290,1970-04-16,38.99800000000001,29.911,36.1,5.2,MS,Kutahya,1970
291,1970-03-28,39.5,30.3,33.0,5.3,MS,Kutahya,1970
292,1970-04-19,39.6,30.7,33.0,5.3,MS,Balikesir,1970
293,1970-03-31,39.12,29.16,43.0,5.0,mb,Kutahya,1970
294,1970-03-30,39.298,29.268,7.8,5.0,MS,Kutahya,1970
295,1970-05-12,38.6,29.3,33.0,5.0,mb,Usak,1970
296,1970-04-19,40.0,30.9,33.0,5.0,MS,Balikesir,1970
297,1969-04-30,39.14,28.547,14.5,5.2,MS,Balikesir,1969
298,1969-03-23,37.9,27.6,33.0,5.0,MS,Aydin,1969
299,1969-03-23,39.12300000000001,28.491,15.2,5.6,MS,Manisa,1969
300,1969-09-06,36.752,28.274,68.3,5.0,mb,Mugla,1969
301,1969-03-28,38.55,28.46,4.0,6.5,MS,Manisa,1969
302,1969-03-04,36.98,31.04,109.0,5.2,MS,Antalya,1969
303,1969-01-14,36.11,29.19,22.0,6.2,MS,Erzurum,1969
304,1969-03-03,40.048,27.536,10.1,5.3,MS,Balikesir,1969
305,1969-03-25,39.25,28.44,37.0,6.0,MS,Balikesir,1969
306,1969-04-06,38.467,26.444000000000006,15.2,5.5,MS,Izmir,1969
307,1969-03-24,39.094,28.498,30.2,5.0,MS,Manisa,1969
308,1969-10-07,39.2,28.4,13.0,5.1,MS,Balikesir,1969
309,1969-09-10,39.244,41.448,35.0,5.3,MS,Mus,1969
310,1969-12-22,40.6,34.2,33.0,5.1,mb,Corum,1969
311,1968-09-25,39.221,40.307,47.6,5.0,mb,Bingol,1968
312,1968-10-30,37.971,38.587,2.8,5.0,mb,Adiyaman,1968
313,1968-06-11,38.15,42.85,53.0,5.1,MS,Van,1968
314,1968-09-03,41.81,32.39,5.0,6.5,MS,Bartin,1968
315,1968-03-28,38.1,31.0,10.0,5.0,mb,Isparta,1968
316,1968-09-24,39.189,40.319,11.8,5.0,mb,Bingol,1968
317,1968-02-19,39.8,26.4,10.0,5.2,mb,Canakkale,1968
318,1967-07-26,39.5,40.3,10.0,6.0,MS,Bingol,1967
319,1967-01-30,39.41,41.49,76.0,5.0,MS,Erzurum,1967
320,1967-07-22,40.67,30.69,33.0,6.8,MS,Sakarya,1967
321,1967-07-22,40.7,30.8,6.0,5.2,mb,Sakarya,1967
322,1967-07-22,40.74800000000001,30.555,37.3,5.1,mb,Sakarya,1967
323,1967-06-23,40.831,33.611,5.4,5.1,mb,Cankiri,1967
324,1967-07-22,40.66,30.62,26.0,5.1,MS,Sakarya,1967
325,1967-07-30,40.697,30.549,14.7,5.4,mb,Sakarya,1967
326,1967-06-01,36.825,29.331,39.9,5.0,mb,Mugla,1967
327,1967-10-26,37.25,29.112,49.3,5.0,mb,Denizli,1967
328,1966-08-19,39.31,41.192,35.0,5.0,mb,Mus,1966
329,1966-04-27,38.14,42.52,28.0,5.1,MS,Bitlis,1966
330,1966-12-10,41.09,33.56,13.0,5.2,MS,Kastamonu,1966
331,1966-08-19,39.41,41.3,62.0,5.3,MS,Erzurum,1966
332,1966-08-20,39.42,40.98,14.0,6.2,MS,Bingol,1966
333,1966-08-20,38.82,41.49,47.0,5.0,MS,Mus,1966
334,1966-05-07,37.79,27.754,44.2,5.0,mb,Aydin,1966
335,1966-05-09,37.05,30.98,132.0,5.0,MS,Antalya,1966
336,1966-08-19,38.999,41.75899999999999,35.0,5.2,mb,Mus,1966
337,1966-05-04,37.74,27.71,37.0,5.2,MS,Aydin,1966
338,1966-08-19,39.17,41.56,26.0,6.9,MS,Mus,1966
339,1966-08-20,39.165,40.762,18.7,5.4,mb,Bingol,1966
340,1966-09-25,37.77,29.97,44.0,5.2,MS,Burdur,1966
341,1966-03-07,39.174,41.602,35.0,5.2,mb,Mus,1966
342,1965-08-31,39.346,40.792,5.6,5.1,mb,Bingol,1965
343,1965-06-28,38.0,41.3,33.0,5.1,mb,Batman,1965
344,1965-08-23,40.436,26.136,16.0,5.2,mb,Edirne,1965
345,1965-03-26,36.82,30.94,111.0,5.2,MS,Balikesir,1965
346,1965-03-02,38.451,28.286,41.0,5.0,mb,Manisa,1965
347,1965-06-13,37.778,29.314,36.6,5.1,mb,Denizli,1965
348,1964-10-06,40.3,28.23,34.0,7.0,MS,Bursa,1964
349,1964-04-23,38.09,38.75,57.0,5.0,mb,Malatya,1964
350,1964-06-14,38.13,38.51,3.0,6.0,MS,Adiyaman,1964
351,1964-01-30,37.401,29.931,56.2,5.3,mb,Burdur,1964
352,1964-10-06,40.186,28.153,28.1,5.4,mb,Bursa,1964
353,1963-03-11,37.96,29.14,40.0,5.5,MS,Denizli,1963
354,1963-07-26,36.84,28.76,80.0,5.1,MS,Mugla,1963
355,1963-04-22,41.37,38.75,60.0,5.4,MS,Balikesir,1963
356,1963-03-29,40.29,26.15,50.0,5.1,MS,Canakkale,1963
357,1963-09-18,40.77,29.12,40.0,6.3,MS,Istanbul,1963
358,1962-09-04,39.96,44.13,40.0,5.3,MS,Igdir,1962
359,1961-06-01,37.65,36.76,40.0,5.0,MS,Kahramanmaras,1961
360,1961-06-21,37.87,28.77,60.0,5.0,MS,Denizli,1961
361,1961-05-23,36.7,28.49,70.0,6.3,MS,Mugla,1961
362,1961-11-28,39.99,26.1,80.0,5.2,MS,Canakkale,1961
363,1961-03-28,39.82,30.19,10.0,5.0,MS,Balikesir,1961
364,1960-01-26,37.0,28.93,72.0,5.2,MS,Mugla,1960
365,1960-01-26,40.19,38.75,20.0,5.9,MS,Giresun,1960
366,1959-09-10,39.64,41.73,70.0,5.3,MS,Erzurum,1959
367,1959-07-26,40.91,27.54,10.0,5.4,MS,Tekirdag,1959
368,1959-04-25,36.94,28.58,30.0,5.9,MS,Mugla,1959
369,1959-04-25,36.92,28.6,40.0,5.3,MS,Mugla,1959
